player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,RS,TOR,526,257,-2.243013421891187,.1975145538508904,-2.045498868040297,-.3657092385808795,-3.534437108410422,-3.900146346991301,-2.000504013660748,-.5701227100448431,-2.570626723705591,.0232751039173158,.0232751039173158,0,-1.491591529728364,-.739293659770582,-2.230885189498947,-1.051631766237271
Steven Adams,adamsst01,2023,RS,MEM,1845,882,-1.020639702447696,3.682918919751031,2.662279217303335,4.729252031100146,-1.44170320289808,3.287548828202067,.1103245733291732,2.789258293407625,2.899582866736798,2.538573504113559,2.538573504113559,0,.10073085548662,3.414663304422786,3.515394159909405,-.1479196718554129
Bam Adebayo,adebaba01,2023,RS,MIA,2424,1196,-2.171683772507865,3.079124931070123,.9074411585622575,3.484458413291701,3.441050983528903,6.925509396820605,-1.086179543104802,3.326034948018148,2.239855404913346,3.028280703826594,3.028280703826594,0,-1.434091550658577,3.227615408817839,1.793523858159262,-.5488750475227469
Ochai Agbaji,agbajoc01,2023,RS,UTA,283,127,-3.018218344584912,.8737621902862186,-2.144456154298693,-7.342374250662298,2.769860622861617,-4.572513627800681,-4.147569351296081,1.35321652901735,-2.794352822278731,-.0028757382773189,-.0028757382773189,0,-3.485575844192463,-1.257634186656915,-4.743210030849379,.0661374345293473
Santi Aldama,aldamsa01,2023,RS,MEM,1655,770,.0933539283737623,.1161387656194302,.2094926939931924,.3216477566097509,-1.540240145736996,-1.218592389127245,.1360444194797569,-.2764432060788805,-.1403987865991236,1.029032860000697,1.029032860000697,0,.3750009890786328,1.363381926712266,1.738382915790899,.3788626204351544
Nickeil Alexander-Walker,alexani01,2023,RS,UTA,853,402,.4378561243011519,3.794071882320983,4.231928006622135,-3.27541648280432,1.805203656961034,-1.470212825843286,-.3496901160871849,3.640140152644199,3.290450036557014,1.246494946185971,1.246494946185971,0,.5952340641917059,2.536225046201525,3.131459110393231,.6200859228953459
Grayson Allen,allengr01,2023,RS,MIL,1920,904,.0535112677937361,-.6709680963293478,-.6174568285356117,-.963513711112041,2.795611628029147,1.832097916917106,-.139068749061091,-.0412358166525218,-.1803045657136128,1.186201794148068,1.186201794148068,0,.0084993859375218,-.18606969618207,-.1775703102445482,.08573994599499
Jarrett Allen,allenja01,2023,RS,CLE,2113,1045,-1.829306771285801,2.03380954332671,.2045027720409094,1.861517201197713,4.512349880412935,6.373867081610648,-1.187276146827932,2.610691630907305,1.423415484079373,2.216518151832372,2.216518151832372,0,-1.013155939242983,2.890335390604672,1.877179451361689,-.3897801771835423
Jose Alvarado,alvarjo01,2023,RS,NOP,1560,735,-.1834803872617682,3.610742035001058,3.42726164773929,2.570280269194772,5.79629085068361,8.366571119878381,.3526637602172357,4.245415182100889,4.598078942318124,2.759968980173407,2.759968980173407,0,.060268836842181,3.97134976480037,4.031618601642551,.1637424623176066
Kyle Anderson,anderky01,2023,RS,MIN,1500,697,-.9374601125242142,1.645171262436687,.7077111499124732,2.246896838315741,-1.354418480113539,.8924783582022022,-.318387197651676,1.127804457421155,.8094172597694794,1.269231861328042,1.269231861328042,0,-.6652198685305528,.9827858751746633,.3175660066441105,.2772171826781827
Giannis Antetokounmpo,antetgi01,2023,RS,MIL,2169,1011,2.970555931090434,1.469521341435808,4.440077272526242,-1.022263699933939,1.413751054777978,.3914873548440394,2.379550798951578,1.495529049672709,3.875079848624287,3.475894754354494,3.475894754354494,0,2.218132616841423,1.507992903539422,3.726125520380846,1.734154832036997
Thanasis Antetokounmpo,antetth01,2023,RS,MIL,157,73,-7.825704779225245,2.637664882220403,-5.188039897004842,-5.636653516901863,-2.083269149396221,-7.719922666298085,-7.82317786622111,1.782781215524978,-6.040396650696133,-.121244406421601,-.121244406421601,0,-8.601203865414947,-1.101891808730437,-9.703095674145384,-1.077016006875067
Cole Anthony,anthoco01,2023,RS,ORL,1020,499,1.28029632946792,.7507955627399965,2.031091892207916,2.96432001236576,-.054271528697449,2.910048483668311,1.758516830571045,.6514885265534867,2.410005357124531,1.300088930447901,1.300088930447901,0,1.423273117301548,.092734638349419,1.516007755650967,-1.046654567000536
O.G. Anunoby,anunoog01,2023,RS,TOR,2495,1215,-1.094186163701432,1.550381157991157,.4561949942897257,.3237130002075582,2.001209100287382,2.32492210049494,-.8658662178371876,1.749278041224142,.8834118233869543,2.265938364326686,2.265938364326686,0,.3487151121029565,2.667834355530405,3.016549467633362,.6111871267326094
Ryan Arcidiacono,arcidry01,2023,RS,NYK,56,25,-6.747045476400225,6.632484203159319,-.1145612732409056,-16.66391021365412,17.31939004471367,.6554798310595515,-9.279867568738984,9.2401150755295,-.0397524932094839,.0347569245278429,.0347569245278429,0,-6.548989543016245,4.939838917600334,-1.609150625415911,.5491680212975864
Deni Avdija,avdijde01,2023,RS,WAS,1952,938,-2.138407801504782,1.46391503483762,-.6744927666671618,-1.484966525559795,-1.664932967691505,-3.1498994932513,-2.134605386175051,.8872392821441486,-1.247366104030903,.7207029595773135,.7207029595773135,0,-1.501662525772066,1.658108283048349,.156445757276283,.2237589550160401
